Freguesia DW,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,,,,,,,,,
Lamosa,PPD/PSD,"41,18%",42,PS,"38,24%",39,CDS-PP,"4,90%",5,CH,"3,92%",4,IL,"3,92%",4,B.E.,"1,96%",2,MAS,"0,98%",1,PAN,"0,98%",1,PCP-PEV,"0,98%",1,ADN,"0,00%",0,E,"0,00%",0,L,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,96%",2,NULOS,"0,98%",1,,,,,,,,,
Ramalhal,PS,"41,18%",754,PPD/PSD,"22,94%",420,CH,"10,05%",184,IL,"5,08%",93,B.E.,"4,86%",89,PCP-PEV,"4,26%",78,A,"1,64%",30,PAN,"1,58%",29,CDS-PP,"1,37%",25,L,"1,04%",19,PCTP/MRPP,"0,93%",17,ADN,"0,49%",9,R.I.R.,"0,49%",9,MPT,"0,22%",4,E,"0,16%",3,JPP,"0,16%",3,NC,"0,11%",2,VP,"0,11%",2,MAS,"0,05%",1,,,,,,,,,
União das freguesias de Cinco Vilas e Reigada,PPD/PSD,"41,18%",77,PS,"35,83%",67,CH,"12,30%",23,CDS-PP,"2,67%",5,R.I.R.,"2,67%",5,B.E.,"2,14%",4,PAN,"1,60%",3,IL,"1,07%",2,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PCP-PEV,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"0,53%",1,,,,,,,,,,,,,,,
União das freguesias de Figueiró da Serra e Freixo da Serra,PPD/PSD,"41,18%",70,PS,"40,00%",68,CH,"5,88%",10,CDS-PP,"2,35%",4,PCP-PEV,"2,35%",4,IL,"1,18%",2,B.E.,"0,59%",1,L,"0,59%",1,VP,"0,59%",1,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"2,94%",5,NULOS,"2,35%",4,,,,,,,,,,,,,,,
Torre de Dona Chama,PPD/PSD,"41,19%",180,PS,"40,96%",179,CH,"10,07%",44,CDS-PP,"2,75%",12,IL,"1,14%",5,B.E.,"0,69%",3,PCP-PEV,"0,46%",2,R.I.R.,"0,46%",2,E,"0,23%",1,L,"0,23%",1,MPT,"0,23%",1,PAN,"0,23%",1,MAS,"0,00%",0,EMBRANCO,"0,46%",2,NULOS,"0,92%",4,,,,,,,,,,,,,,,,,,,,,
Santo André – Santiago do Cacém,PS,"41,21%","2,119",PPD/PSD,"20,71%","1,065",CH,"9,35%",481,PCP-PEV,"7,82%",402,B.E.,"7,37%",379,IL,"4,36%",224,PAN,"1,89%",97,CDS-PP,"1,42%",73,L,"1,40%",72,PCTP/MRPP,"0,62%",32,ADN,"0,39%",20,R.I.R.,"0,37%",19,MAS,"0,19%",10,E,"0,12%",6,MPT,"0,12%",6,PTP,"0,10%",5,VP,"0,08%",4,JPP,"0,06%",3,NC,"0,02%",1,,,,,,,,,
União das freguesias de Cabreiros e Passos (São Julião),PS,"41,21%",574,PPD/PSD,"35,39%",493,CH,"5,46%",76,IL,"3,95%",55,PCP-PEV,"3,59%",50,CDS-PP,"3,23%",45,B.E.,"2,44%",34,PAN,"1,44%",20,L,"0,43%",6,R.I.R.,"0,43%",6,JPP,"0,29%",4,PTP,"0,22%",3,MPT,"0,14%",2,E,"0,07%",1,MAS,"0,07%",1,VP,"0,07%",1,A,"0,00%",0,EMBRANCO,"0,86%",12,NULOS,"0,72%",10,,,,,,,,,
"União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão",PS,"41,21%",755,PPD/PSD,"37,45%",686,CH,"7,81%",143,IL,"3,66%",67,CDS-PP,"3,11%",57,B.E.,"1,53%",28,PCP-PEV,"0,76%",14,PAN,"0,66%",12,R.I.R.,"0,49%",9,L,"0,38%",7,A,"0,22%",4,MAS,"0,22%",4,VP,"0,22%",4,MPT,"0,05%",1,E,"0,00%",0,EMBRANCO,"1,31%",24,NULOS,"0,93%",17,,,,,,,,,,,,,,,
Peral,PS,"41,22%",209,PPD/PSD,"29,19%",148,CH,"9,66%",49,B.E.,"4,54%",23,IL,"3,55%",18,CDS-PP,"2,96%",15,PCP-PEV,"2,96%",15,PAN,"1,97%",10,L,"0,59%",3,R.I.R.,"0,59%",3,PCTP/MRPP,"0,39%",2,ADN,"0,20%",1,E,"0,20%",1,VP,"0,20%",1,A,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,,,,,,,,,
São Martinho,PPD/PSD.CDS-PP,"41,22%","5,649",PS,"31,16%","4,271",CH,"6,01%",824,IL,"5,48%",751,JPP,"3,53%",484,B.E.,"3,47%",476,PCP-PEV,"2,30%",315,PAN,"1,83%",251,L,"0,89%",122,PTP,"0,42%",57,ADN,"0,37%",51,R.I.R.,"0,37%",51,MPT,"0,33%",45,MAS,"0,20%",28,PPM,"0,18%",24,E,"0,13%",18,EMBRANCO,"0,55%",75,NULOS,"1,56%",214,,,,,,,,,,,,
Seixo de Ansiães,PS,"41,22%",61,PPD/PSD,"39,19%",58,CH,"10,14%",15,B.E.,"2,70%",4,CDS-PP,"1,35%",2,IL,"0,68%",1,PCP-PEV,"0,68%",1,R.I.R.,"0,68%",1,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,EMBRANCO,"2,03%",3,NULOS,"1,35%",2,,,,,,,,,,,,,,,,,,,,,
União das freguesias da Chamusca e Pinheiro Grande,PS,"41,22%",800,PPD/PSD,"21,33%",414,CH,"12,52%",243,PCP-PEV,"11,03%",214,B.E.,"3,76%",73,CDS-PP,"3,35%",65,IL,"2,99%",58,L,"0,77%",15,PAN,"0,57%",11,R.I.R.,"0,36%",7,VP,"0,21%",4,E,"0,15%",3,MAS,"0,10%",2,MPT,"0,10%",2,PTP,"0,00%",0,EMBRANCO,"0,72%",14,NULOS,"0,82%",16,,,,,,,,,,,,,,,
Alijó,PS,"41,23%",536,PPD/PSD,"36,92%",480,CH,"8,00%",104,IL,"3,00%",39,B.E.,"2,54%",33,PCP-PEV,"2,38%",31,CDS-PP,"1,85%",24,PAN,"0,77%",10,L,"0,54%",7,R.I.R.,"0,31%",4,E,"0,15%",2,MAS,"0,15%",2,NC,"0,15%",2,VP,"0,08%",1,MPT,"0,00%",0,EMBRANCO,"0,92%",12,NULOS,"1,00%",13,,,,,,,,,,,,,,,
Tavarede,PS,"41,23%","2,213",PPD/PSD,"26,12%","1,402",CH,"7,66%",411,B.E.,"6,41%",344,IL,"4,86%",261,PCP-PEV,"4,25%",228,PAN,"2,03%",109,L,"1,49%",80,CDS-PP,"1,25%",67,R.I.R.,"0,48%",26,VP,"0,26%",14,MPT,"0,22%",12,PCTP/MRPP,"0,22%",12,A,"0,19%",10,E,"0,06%",3,MAS,"0,06%",3,EMBRANCO,"1,88%",101,NULOS,"1,34%",72,,,,,,,,,,,,
Fortios,PS,"41,24%",391,PPD/PSD,"29,54%",280,CH,"12,03%",114,PCP-PEV,"6,75%",64,B.E.,"2,64%",25,CDS-PP,"2,00%",19,IL,"1,90%",18,L,"0,53%",5,PCTP/MRPP,"0,53%",5,PAN,"0,42%",4,R.I.R.,"0,32%",3,VP,"0,21%",2,E,"0,11%",1,MPT,"0,11%",1,PTP,"0,11%",1,MAS,"0,00%",0,EMBRANCO,"0,84%",8,NULOS,"0,74%",7,,,,,,,,,,,,
"União das freguesias de Mação, Penhascoso e Aboboreira",PS,"41,24%",786,PPD/PSD,"30,06%",573,CH,"9,18%",175,B.E.,"5,14%",98,PCP-PEV,"4,09%",78,IL,"2,36%",45,CDS-PP,"1,52%",29,L,"0,73%",14,PAN,"0,73%",14,R.I.R.,"0,68%",13,MAS,"0,42%",8,E,"0,26%",5,MPT,"0,21%",4,VP,"0,21%",4,PTP,"0,00%",0,EMBRANCO,"1,68%",32,NULOS,"1,47%",28,,,,,,,,,,,,,,,
Tangil,PPD/PSD,"41,25%",139,PS,"38,87%",131,CH,"6,82%",23,B.E.,"3,56%",12,CDS-PP,"2,37%",8,PCP-PEV,"2,08%",7,IL,"0,59%",2,L,"0,59%",2,MAS,"0,30%",1,MPT,"0,30%",1,PAN,"0,30%",1,A,"0,00%",0,E,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,78%",6,NULOS,"1,19%",4,,,,,,,,,,,,,,,
União das freguesias de Águas Boas e Forles,PPD/PSD,"41,25%",66,PS,"37,50%",60,CH,"7,50%",12,IL,"4,38%",7,B.E.,"3,13%",5,CDS-PP,"2,50%",4,PCP-PEV,"1,88%",3,PAN,"0,63%",1,R.I.R.,"0,63%",1,ADN,"0,00%",0,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,63%",1,NULOS,"0,00%",0,,,,,,,,,
Alcanede,PPD/PSD,"41,26%",878,PS,"33,98%",723,CH,"9,87%",210,IL,"3,15%",67,B.E.,"3,01%",64,CDS-PP,"2,77%",59,PCP-PEV,"1,93%",41,PAN,"0,66%",14,R.I.R.,"0,61%",13,L,"0,42%",9,MPT,"0,19%",4,VP,"0,19%",4,MAS,"0,14%",3,E,"0,05%",1,PTP,"0,05%",1,EMBRANCO,"0,80%",17,NULOS,"0,94%",20,,,,,,,,,,,,,,,
União das freguesias de Caparrosa e Silvares,PPD/PSD,"41,26%",222,PS,"40,89%",220,CH,"10,04%",54,IL,"2,04%",11,CDS-PP,"1,67%",9,B.E.,"1,30%",7,PAN,"0,93%",5,L,"0,19%",1,MAS,"0,19%",1,PCP-PEV,"0,19%",1,R.I.R.,"0,19%",1,VP,"0,19%",1,ADN,"0,00%",0,E,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"0,37%",2,NULOS,"0,56%",3,,,,,,,,,
"União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão",PPD/PSD,"41,27%",331,PS,"36,91%",296,CH,"8,10%",65,IL,"2,99%",24,CDS-PP,"2,49%",20,B.E.,"2,12%",17,PCP-PEV,"0,75%",6,PAN,"0,50%",4,R.I.R.,"0,50%",4,PCTP/MRPP,"0,37%",3,L,"0,25%",2,ADN,"0,12%",1,E,"0,12%",1,MAS,"0,12%",1,JPP,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"2,37%",19,NULOS,"1,00%",8,,,,,,,,,
União das freguesias do Cadaval e Pêro Moniz,PS,"41,27%",685,PPD/PSD,"29,52%",490,CH,"7,83%",130,B.E.,"4,64%",77,IL,"4,46%",74,PCP-PEV,"4,10%",68,CDS-PP,"1,51%",25,L,"1,39%",23,PAN,"0,72%",12,PCTP/MRPP,"0,54%",9,ADN,"0,36%",6,JPP,"0,18%",3,E,"0,12%",2,MAS,"0,12%",2,MPT,"0,12%",2,R.I.R.,"0,12%",2,PTP,"0,06%",1,VP,"0,06%",1,A,"0,00%",0,,,,,,,,,
Barco,PS,"41,30%",361,PPD/PSD,"40,39%",353,CH,"5,84%",51,IL,"3,66%",32,PCP-PEV,"2,06%",18,B.E.,"1,95%",17,CDS-PP,"1,03%",9,PAN,"0,57%",5,L,"0,46%",4,R.I.R.,"0,34%",3,JPP,"0,23%",2,A,"0,11%",1,MAS,"0,11%",1,PTP,"0,11%",1,E,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,49%",13,NULOS,"0,34%",3,,,,,,,,,
Vilarinho das Cambas,PPD/PSD,"41,30%",342,PS,"38,77%",321,CH,"6,64%",55,IL,"3,14%",26,CDS-PP,"2,78%",23,B.E.,"2,05%",17,PAN,"0,97%",8,PCP-PEV,"0,97%",8,L,"0,85%",7,R.I.R.,"0,60%",5,E,"0,12%",1,PTP,"0,12%",1,VP,"0,12%",1,A,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"0,48%",4,NULOS,"1,09%",9,,,,,,,,,
Calde,PPD/PSD,"41,31%",297,PS,"35,74%",257,CH,"9,04%",65,B.E.,"3,62%",26,IL,"2,64%",19,CDS-PP,"1,67%",12,L,"1,39%",10,R.I.R.,"0,83%",6,PAN,"0,56%",4,PCP-PEV,"0,42%",3,E,"0,28%",2,MAS,"0,28%",2,PTP,"0,14%",1,VP,"0,14%",1,ADN,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,EMBRANCO,"0,97%",7,NULOS,"0,97%",7,,,,,,,,,
União das freguesias de Tondela e Nandufe,PS,"41,31%","1,148",PPD/PSD,"34,01%",945,CH,"7,99%",222,B.E.,"3,56%",99,IL,"3,49%",97,PCP-PEV,"2,30%",64,CDS-PP,"1,73%",48,PAN,"1,30%",36,L,"1,12%",31,VP,"0,18%",5,MPT,"0,14%",4,R.I.R.,"0,14%",4,ADN,"0,11%",3,MAS,"0,04%",1,NC,"0,04%",1,E,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"1,84%",51,NULOS,"0,72%",20,,,,,,,,,
Palmela,PS,"41,32%","3,887",PPD/PSD,"20,38%","1,917",CH,"8,51%",801,PCP-PEV,"8,04%",756,B.E.,"6,74%",634,IL,"5,96%",561,PAN,"1,99%",187,L,"1,76%",166,CDS-PP,"1,16%",109,PCTP/MRPP,"0,58%",55,R.I.R.,"0,48%",45,ADN,"0,28%",26,MPT,"0,15%",14,VP,"0,15%",14,MAS,"0,13%",12,NC,"0,11%",10,E,"0,10%",9,JPP,"0,05%",5,PTP,"0,05%",5,,,,,,,,,
União das freguesias de Monfortinho e Salvaterra do Extremo,PS,"41,32%",131,PPD/PSD,"28,39%",90,CH,"14,20%",45,PCP-PEV,"4,73%",15,B.E.,"2,21%",7,CDS-PP,"1,89%",6,IL,"1,58%",5,PAN,"0,95%",3,ADN,"0,32%",1,L,"0,32%",1,PCTP/MRPP,"0,32%",1,PTP,"0,32%",1,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"1,58%",5,NULOS,"1,89%",6,,,,,,,,,
União das freguesias de Palmeira de Faro e Curvos,PPD/PSD,"41,33%",744,PS,"35,78%",644,CH,"6,11%",110,IL,"4,00%",72,B.E.,"3,89%",70,CDS-PP,"1,83%",33,PCP-PEV,"1,61%",29,PAN,"1,22%",22,L,"0,78%",14,R.I.R.,"0,44%",8,VP,"0,28%",5,JPP,"0,11%",2,MPT,"0,11%",2,MAS,"0,06%",1,PTP,"0,06%",1,A,"0,00%",0,E,"0,00%",0,EMBRANCO,"1,83%",33,NULOS,"0,56%",10,,,,,,,,,
União das freguesias de Tavira (Santa Maria e Santiago),PS,"41,33%","2,745",PPD/PSD,"27,40%","1,82",CH,"11,05%",734,B.E.,"5,84%",388,PCP-PEV,"3,73%",248,IL,"3,67%",244,PAN,"1,63%",108,L,"1,39%",92,CDS-PP,"1,04%",69,ADN,"0,26%",17,R.I.R.,"0,18%",12,PTP,"0,14%",9,VP,"0,12%",8,E,"0,08%",5,MAS,"0,08%",5,MPT,"0,05%",3,EMBRANCO,"1,29%",86,NULOS,"0,74%",49,,,,,,,,,,,,
União das freguesias do Ameixial (Santa Vitória e São Bento),PS,"41,33%",155,PPD/PSD,"26,67%",100,CH,"14,93%",56,PCP-PEV,"8,00%",30,IL,"2,40%",9,B.E.,"2,13%",8,CDS-PP,"1,87%",7,PAN,"0,80%",3,L,"0,27%",1,R.I.R.,"0,27%",1,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,80%",3,NULOS,"0,53%",2,,,,,,,,,,,,,,,
Pereira – Barcelos,PS,"41,34%",351,PPD/PSD,"39,58%",336,CH,"4,71%",40,CDS-PP,"3,89%",33,B.E.,"3,53%",30,IL,"2,47%",21,PAN,"0,82%",7,PCP-PEV,"0,59%",5,R.I.R.,"0,47%",4,L,"0,35%",3,JPP,"0,24%",2,E,"0,12%",1,A,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,30%",11,NULOS,"0,59%",5,,,,,,,,,
Santiago de Besteiros,PPD/PSD,"41,34%",229,PS,"38,63%",214,CH,"7,94%",44,CDS-PP,"2,53%",14,B.E.,"2,35%",13,IL,"2,17%",12,PCP-PEV,"1,08%",6,L,"0,72%",4,NC,"0,54%",3,PAN,"0,36%",2,ADN,"0,18%",1,E,"0,18%",1,VP,"0,18%",1,MAS,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"1,08%",6,NULOS,"0,72%",4,,,,,,,,,
"Assunção, Ajuda, Salvador e Santo Ildefonso",PS,"41,35%","1,758",PPD/PSD,"25,26%","1,074",CH,"18,23%",775,IL,"3,43%",146,B.E.,"2,89%",123,PCP-PEV,"2,45%",104,CDS-PP,"2,21%",94,PAN,"0,94%",40,L,"0,71%",30,R.I.R.,"0,31%",13,PCTP/MRPP,"0,26%",11,E,"0,14%",6,MAS,"0,12%",5,MPT,"0,05%",2,PTP,"0,05%",2,VP,"0,02%",1,EMBRANCO,"0,75%",32,NULOS,"0,85%",36,,,,,,,,,,,,
Santiago Maior – Castelo de Vide,PPD/PSD,"41,35%",55,PS,"41,35%",55,CH,"9,02%",12,B.E.,"2,26%",3,CDS-PP,"1,50%",2,IL,"0,75%",1,PCP-PEV,"0,75%",1,PCTP/MRPP,"0,75%",1,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,50%",2,NULOS,"0,75%",1,,,,,,,,,,,,
Espite,PPD/PSD,"41,36%",182,PS,"28,18%",124,CH,"10,68%",47,CDS-PP,"4,32%",19,B.E.,"3,41%",15,IL,"2,05%",9,PAN,"1,14%",5,PCP-PEV,"1,14%",5,R.I.R.,"0,91%",4,L,"0,45%",2,MAS,"0,45%",2,MPT,"0,23%",1,PTP,"0,23%",1,E,"0,00%",0,VP,"0,00%",0,EMBRANCO,"4,09%",18,NULOS,"1,36%",6,,,,,,,,,,,,,,,
Buarcos e São Julião,PS,"41,37%","3,984",PPD/PSD,"29,90%","2,879",CH,"6,47%",623,B.E.,"5,85%",563,IL,"4,35%",419,PCP-PEV,"4,16%",401,PAN,"2,00%",193,L,"1,26%",121,CDS-PP,"1,21%",117,PCTP/MRPP,"0,35%",34,R.I.R.,"0,31%",30,A,"0,16%",15,MAS,"0,11%",11,VP,"0,09%",9,MPT,"0,07%",7,E,"0,03%",3,EMBRANCO,"1,25%",120,NULOS,"1,05%",101,,,,,,,,,,,,
Urzelina (São Mateus),PPD/PSD.CDS-PP.PPM,"41,37%",151,PS,"37,53%",137,CH,"5,21%",19,IL,"3,56%",13,PCP-PEV,"3,56%",13,B.E.,"1,92%",7,L,"1,10%",4,ADN,"0,82%",3,PAN,"0,82%",3,PCTP/MRPP,"0,27%",1,VP,"0,27%",1,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"2,19%",8,NULOS,"1,37%",5,,,,,,,,,,,,,,,
Arroios – Vila Real,PPD/PSD,"41,38%",293,PS,"35,17%",249,CH,"7,49%",53,IL,"3,67%",26,B.E.,"3,39%",24,PAN,"2,54%",18,PCP-PEV,"1,41%",10,CDS-PP,"1,27%",9,R.I.R.,"0,71%",5,VP,"0,71%",5,L,"0,42%",3,E,"0,28%",2,NC,"0,14%",1,MAS,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"1,13%",8,NULOS,"0,28%",2,,,,,,,,,,,,,,,
Cuide de Vila Verde,PPD/PSD,"41,38%",72,PS,"39,08%",68,B.E.,"3,45%",6,CH,"3,45%",6,PCP-PEV,"2,87%",5,CDS-PP,"2,30%",4,PAN,"2,30%",4,IL,"1,72%",3,L,"0,57%",1,A,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,72%",3,NULOS,"1,15%",2,,,,,,,,,,,,,,,
Agrela,PPD/PSD,"41,39%",394,PS,"37,92%",361,CH,"4,73%",45,IL,"4,73%",45,B.E.,"3,36%",32,PAN,"1,16%",11,PCP-PEV,"1,16%",11,CDS-PP,"1,05%",10,VP,"1,05%",10,L,"0,84%",8,E,"0,32%",3,R.I.R.,"0,32%",3,ADN,"0,11%",1,JPP,"0,11%",1,NC,"0,11%",1,A,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,,,,,,,,,
União das freguesias de Ala e Vilarinho do Monte,PS,"41,39%",113,PPD/PSD,"32,60%",89,CH,"13,92%",38,CDS-PP,"4,40%",12,B.E.,"1,10%",3,E,"0,73%",2,IL,"0,73%",2,PCP-PEV,"0,73%",2,L,"0,37%",1,MPT,"0,37%",1,MAS,"0,00%",0,PAN,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"1,47%",4,NULOS,"2,20%",6,,,,,,,,,,,,,,,,,,,,,
Rabal,PPD/PSD,"41,41%",41,PS,"39,39%",39,CH,"9,09%",9,PCP-PEV,"6,06%",6,CDS-PP,"1,01%",1,IL,"1,01%",1,B.E.,"0,00%",0,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"2,02%",2,,,,,,,,,,,,,,,,,,,,,
União das freguesias de Figueiró dos Vinhos e Bairradas,PS,"41,41%",788,PPD/PSD,"37,94%",722,CH,"5,73%",109,IL,"3,26%",62,B.E.,"2,89%",55,PCP-PEV,"1,89%",36,CDS-PP,"1,37%",26,PAN,"0,95%",18,L,"0,74%",14,MPT,"0,26%",5,R.I.R.,"0,21%",4,ADN,"0,16%",3,MAS,"0,11%",2,NC,"0,11%",2,E,"0,05%",1,VP,"0,05%",1,PTP,"0,00%",0,EMBRANCO,"1,31%",25,NULOS,"1,58%",30,,,,,,,,,
Arruda dos Vinhos,PS,"41,42%","2,105",PPD/PSD,"24,38%","1,239",CH,"8,66%",440,IL,"7,77%",395,PCP-PEV,"5,27%",268,B.E.,"3,90%",198,L,"1,79%",91,CDS-PP,"1,73%",88,PAN,"1,67%",85,PCTP/MRPP,"0,37%",19,R.I.R.,"0,37%",19,MAS,"0,12%",6,E,"0,10%",5,MPT,"0,10%",5,A,"0,08%",4,ADN,"0,06%",3,JPP,"0,06%",3,NC,"0,04%",2,PTP,"0,04%",2,,,,,,,,,
Pega,PPD/PSD,"41,43%",29,PS,"40,00%",28,CH,"8,57%",6,IL,"4,29%",3,PCP-PEV,"1,43%",1,R.I.R.,"1,43%",1,B.E.,"0,00%",0,CDS-PP,"0,00%",0,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,43%",1,NULOS,"1,43%",1,,,,,,,,,,,,,,,
Sanguedo,PS,"41,44%",796,PPD/PSD,"36,54%",702,CH,"5,52%",106,IL,"3,90%",75,B.E.,"3,70%",71,PCP-PEV,"1,72%",33,CDS-PP,"1,56%",30,PAN,"1,30%",25,R.I.R.,"0,62%",12,ADN,"0,47%",9,L,"0,42%",8,PCTP/MRPP,"0,42%",8,MAS,"0,16%",3,E,"0,05%",1,VP,"0,05%",1,JPP,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"0,83%",16,NULOS,"1,30%",25,,,,,,,,,
União das freguesias de Cardielos e Serreleis,PS,"41,44%",574,PPD/PSD,"35,67%",494,CH,"4,69%",65,IL,"3,68%",51,PCP-PEV,"3,47%",48,B.E.,"2,89%",40,CDS-PP,"2,67%",37,A,"1,01%",14,L,"0,65%",9,PAN,"0,51%",7,R.I.R.,"0,22%",3,E,"0,14%",2,MAS,"0,14%",2,MPT,"0,07%",1,VP,"0,07%",1,EMBRANCO,"1,37%",19,NULOS,"1,30%",18,,,,,,,,,,,,,,,
União das freguesias de Celorico (São Pedro e Santa Maria) e Vila Boa do Mondego,PPD/PSD,"41,44%",433,PS,"38,09%",398,CH,"7,94%",83,B.E.,"3,64%",38,CDS-PP,"1,72%",18,IL,"1,53%",16,PCP-PEV,"1,15%",12,L,"0,86%",9,E,"0,48%",5,PAN,"0,38%",4,R.I.R.,"0,38%",4,MAS,"0,29%",3,VP,"0,29%",3,MPT,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"0,86%",9,NULOS,"0,96%",10,,,,,,,,,,,,,,,
"Santa Maria, São Pedro e Sobral da Lagoa",PS,"41,45%",788,PPD/PSD,"30,62%",582,CH,"8,84%",168,B.E.,"4,63%",88,IL,"4,21%",80,PCP-PEV,"3,21%",61,CDS-PP,"1,58%",30,PAN,"1,53%",29,L,"0,89%",17,ADN,"0,58%",11,R.I.R.,"0,47%",9,E,"0,05%",1,MAS,"0,05%",1,NC,"0,05%",1,VP,"0,05%",1,MPT,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"1,26%",24,NULOS,"0,53%",10,,,,,,,,,
Vila Chã – Alijó,PPD/PSD,"41,45%",97,PS,"36,75%",86,CH,"7,69%",18,IL,"2,99%",7,B.E.,"1,71%",4,CDS-PP,"1,71%",4,R.I.R.,"1,71%",4,PAN,"0,85%",2,PCP-PEV,"0,85%",2,L,"0,43%",1,MAS,"0,43%",1,E,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,85%",2,NULOS,"2,56%",6,,,,,,,,,,,,,,,
Martim,PS,"41,46%",541,PPD/PSD,"36,93%",482,CH,"7,43%",97,IL,"3,14%",41,B.E.,"3,07%",40,PCP-PEV,"2,07%",27,CDS-PP,"1,23%",16,PAN,"0,77%",10,L,"0,69%",9,JPP,"0,23%",3,R.I.R.,"0,23%",3,A,"0,15%",2,MPT,"0,15%",2,PTP,"0,15%",2,VP,"0,15%",2,MAS,"0,08%",1,E,"0,00%",0,EMBRANCO,"0,84%",11,NULOS,"1,23%",16,,,,,,,,,
União das freguesias de Arouca e Burgo,PPD/PSD,"41,46%","1,177",PS,"38,18%","1,084",CH,"4,68%",133,B.E.,"3,24%",92,IL,"3,21%",91,CDS-PP,"2,22%",63,PCP-PEV,"1,44%",41,PAN,"1,06%",30,L,"0,74%",21,R.I.R.,"0,67%",19,PCTP/MRPP,"0,21%",6,ADN,"0,14%",4,MAS,"0,11%",3,MPT,"0,11%",3,VP,"0,07%",2,E,"0,04%",1,JPP,"0,00%",0,EMBRANCO,"1,62%",46,NULOS,"0,81%",23,,,,,,,,,
